馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
アフリカンゴールド,2,3.2,1,1,3,466,0,0,4,56.0,9,4,0,2400,0,0,9,3,4,55,2,2,3,3,36.4,466,+2,0.1,8,15,0,2400,0,0,16,4,4,52,5,6,5,6,40.0,464,+4,3.1,8,12,0,3000,0,0,18,10,4,57,5,5,5,3,35.7,460,-2,1.7,9,1,0,2400,0,0,8,7,4,53,2,2,2,2,34.3,462,0,-0.7,7,1,0,2200,0,0,14,13,4,54,3,3,2,3,35.6,462,0,-0.4
スティルウォーター,8,36.0,2,2,3,420,+4,1,6,52.0,9,6,0,2400,0,0,9,7,6,52,9,9,9,9,37.1,416,-8,2.0,8,4,0,2400,0,0,9,5,6,52,8,8,7,7,34.6,424,+4,0.4,8,6,0,2200,0,0,8,1,6,52,8,8,8,8,33.5,420,+2,0.4,8,1,0,2400,0,0,9,7,6,55,7,6,8,7,34.1,418,0,-0.2,9,4,0,2400,0,0,8,2,6,52,5,4,4,4,35.1,418,+4,1.2
タイセイトレイル,3,8.8,3,3,6,494,+6,0,4,55.0,6,2,0,2500,0,0,12,5,4,54,2,2,2,2,34.6,488,+4,0.3,10,1,0,2600,0,0,15,11,4,54,5,4,3,3,35.6,484,-8,-0.1,10,1,0,2600,0,1,13,4,4,56,6,6,4,4,36.2,492,-4,-0.2,8,3,0,2200,0,0,16,2,4,55,6,8,7,10,35.3,496,+2,0.6,9,8,0,1600,0,0,17,15,4,56,13,8,0,0,35.7,494,0,0.4
ギャラッド,6,13.8,4,4,8,478,+4,2,4,54.0,9,4,0,2200,0,0,9,4,4,56,9,9,9,7,35.7,474,0,1.2,7,1,0,2200,0,0,10,8,4,55,6,5,6,6,34.2,474,+6,0.0,4,1,0,2000,0,0,15,8,4,55,13,12,0,0,32.7,468,0,0.0,4,4,0,2000,0,0,10,10,4,54,5,5,0,0,33.4,468,-8,0.8,6,9,0,2200,0,0,11,8,4,56,4,4,3,4,36.1,476,+2,1.8
レッドレオン,7,3.6,5,5,4,448,-2,0,4,55.0,7,1,0,2200,0,0,12,2,4,56,4,4,4,4,34.9,450,+2,0.0,7,1,0,2000,0,0,18,6,4,56,4,4,4,3,34.9,448,-6,0.0,8,3,0,1800,0,0,17,11,4,55,4,4,0,0,34.8,454,+14,0.4,8,4,0,1800,0,0,10,5,4,56,5,3,0,0,35.6,440,-2,0.5,8,1,0,1600,0,1,16,10,4,56,3,3,0,0,36.6,442,0,0.0
ノチェブランカ,4,7.0,5,6,7,462,+8,1,4,52.0,6,1,0,2500,0,0,7,5,4,54,4,4,4,4,35.7,454,-6,-0.2,8,3,0,2400,0,1,8,3,4,51,2,2,2,2,36.8,460,+8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2600,0,0,10,9,4,53,5,5,3,3,34.6,452,+2,-0.2,2,4,0,2600,0,2,11,6,4,51,5,5,7,3,35.9,450,+18,0.5
ゴールドフラッグ,10,42.1,6,7,12,506,-2,0,4,54.0,5,7,0,2400,0,0,11,1,4,54,7,8,8,8,34.6,508,+2,0.9,6,9,0,2500,0,0,13,6,4,53,13,12,9,4,36.4,506,+2,1.0,3,1,0,2600,0,0,15,10,4,53,12,12,12,11,35.2,504,0,0.0,8,8,0,2400,0,0,9,3,4,54,8,6,2,3,35.1,504,+2,0.5,1,7,0,2600,0,0,11,10,4,53,4,5,8,5,38.2,502,0,1.4
ウインブルーローズ,12,254.6,6,8,3,498,+6,0,7,51.0,9,7,0,2400,0,0,9,6,7,51,4,4,6,7,37.9,492,-8,2.0,6,10,0,2500,0,0,12,1,7,51,7,9,10,10,35.0,500,0,1.4,5,12,1,2100,0,0,12,6,7,57,11,11,12,12,40.7,500,+2,5.3,5,10,0,2400,0,0,11,9,7,52,9,9,9,8,35.1,498,+2,1.5,6,11,0,2200,0,0,12,7,7,57,11,11,12,10,35.1,496,+4,1.3
エーティーラッセン,5,19.6,7,9,3,510,+4,0,5,54.0,9,1,0,2000,0,0,11,11,5,57,1,1,1,1,34.4,506,-2,-0.1,9,5,0,2400,0,0,10,4,5,55,2,4,6,5,36.6,508,-2,1.4,7,2,0,2000,0,0,12,1,5,57,1,1,1,1,35.3,510,-4,0.2,8,7,0,2400,0,0,9,4,5,55,1,1,1,1,35.4,514,+10,1.0,8,5,0,2400,0,0,9,8,5,57,1,1,1,1,34.9,504,+6,0.2
フォイヤーヴェルク,9,14.1,7,10,10,456,-2,0,6,55.0,8,1,0,2400,0,0,8,1,6,57,5,5,4,4,35.3,458,0,0.0,8,2,0,2400,0,1,8,1,6,56,5,5,6,7,36.0,458,-2,0.2,9,6,0,2400,0,1,9,4,6,57,9,9,5,2,36.5,460,+12,0.8,9,3,0,2400,0,0,8,3,6,56,7,7,6,5,34.8,448,+8,1.1,7,3,0,2200,0,0,10,7,6,57,5,7,5,5,34.9,440,+2,0.3
メイケイレジェンド,11,105.6,8,11,27,500,+16,0,6,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,2000,0,0,11,2,6,54,7,7,8,6,34.7,484,-4,0.4,8,11,0,2400,0,0,12,3,6,54,4,5,4,3,35.7,488,+6,1.4,9,7,0,2400,0,0,11,1,6,54,9,9,6,6,33.7,482,-4,0.6,9,10,0,2400,0,0,11,2,6,54,9,9,10,10,34.0,486,-2,1.0
レノヴァール,1,6.2,8,12,2,524,+4,0,4,55.0,6,4,0,2200,0,0,8,7,4,57,7,7,7,8,34.1,520,+4,0.3,10,9,0,1800,0,0,15,6,4,56,10,10,10,9,35.1,516,-4,0.4,8,1,0,2000,0,0,9,7,4,56,3,3,4,4,35.5,520,+10,-0.2,5,3,0,1800,0,0,9,8,4,55,6,5,5,0,33.7,510,0,0.7,4,3,0,1800,0,1,13,10,4,55,3,5,0,0,34.4,510,+4,0.1
