馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
アレスバローズ,10,55.0,1,1,5,484,-8,0,7,57.0,10,6,0,1200,68.6,0,18,3,6,57,17,14,0,0,34.4,492,-4,0.4,7,2,0,1200,69.8,3,13,4,7,57,10,8,0,0,34.4,496,-4,0.0,7,9,0,1200,68.0,0,18,6,7,57,6,5,0,0,34.2,500,-4,0.7,8,5,0,1200,68.7,0,18,17,10,57,9,5,0,0,34.3,504,+8,0.4,8,10,0,1200,68.7,0,18,4,3,57,4,3,0,0,34.2,496,+4,0.7
ダノンスマッシュ,3,2.8,1,2,4,470,-8,0,4,57.0,1,1,0,1200,69.2,1,16,13,1,57,7,6,0,0,35.3,478,+6,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,1200,67.5,0,18,13,1,57,4,2,0,0,34.0,472,-2,0.2,8,1,0,1200,68.3,0,18,2,1,56,5,5,0,0,34.2,474,+4,-0.2,8,1,0,1200,68.0,0,18,3,1,55,4,3,0,0,33.6,470,-2,-0.3
セイウンコウセイ,12,41.4,2,3,4,500,-2,0,6,57.0,1,6,0,1200,69.7,1,16,4,5,58,3,4,0,0,36.3,502,-4,0.5,7,3,0,1200,69.9,3,13,3,2,58,1,1,0,0,35.0,506,+2,0.1,7,2,0,1200,67.4,0,18,4,12,57,3,2,0,0,33.9,504,-4,0.1,8,15,0,1200,69.6,0,18,14,5,58,1,1,0,0,36.3,508,+10,1.3,8,14,1,1200,72.8,0,16,9,7,57,6,7,0,0,38.4,498,-6,2.4
リナーテ,9,14.9,2,4,4,486,-2,1,5,55.0,1,3,0,1200,69.3,1,16,16,3,54,8,8,0,0,35.2,488,-8,0.1,1,1,0,1200,67.9,0,16,11,1,54,9,8,0,0,33.4,496,+8,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1400,79.5,0,15,7,6,54,6,6,0,0,33.3,488,-2,0.1,8,2,0,1400,81.1,0,17,15,7,54,11,11,0,0,33.9,490,+10,0.1
レッツゴードンキ,5,47.0,3,5,19,490,-12,1,7,55.0,5,10,0,1600,91.2,0,18,14,13,55,16,15,0,0,33.2,502,-2,0.7,7,6,0,1200,67.6,0,18,8,5,55,15,14,0,0,33.3,504,-2,0.3,9,2,0,1400,80.5,0,18,1,4,54,3,4,0,0,34.6,506,+4,0.2,8,5,1,1200,71.0,0,16,13,2,55,11,11,0,0,36.0,502,+12,0.6,6,5,0,1200,68.6,1,16,10,4,55,13,11,0,0,34.3,490,-8,0.3
ノーワン,8,195.9,3,6,18,468,-6,1,3,53.0,5,18,0,2400,146.7,0,18,15,15,55,9,12,13,13,38.2,474,-8,3.9,9,11,0,1600,94.2,0,18,12,12,55,8,9,0,0,34.0,482,+2,1.5,9,1,0,1400,82.0,1,18,1,12,54,10,10,0,0,34.5,480,-4,0.0,8,1,0,1600,96.8,0,12,9,4,54,6,3,0,0,34.3,484,-2,-0.2,8,3,0,1600,97.2,1,16,5,1,54,3,3,0,0,36.0,486,+12,0.6
モズスーパーフレア,2,6.2,4,7,5,502,-4,1,4,55.0,10,4,0,1200,68.5,0,18,13,2,55,3,3,0,0,35.6,506,+26,0.3,7,15,0,1200,69.0,0,18,15,2,55,1,1,0,0,35.8,480,-6,1.7,6,1,0,1200,67.1,0,16,14,1,54,1,1,0,0,34.8,486,-2,-0.2,6,1,0,1200,67.0,0,16,12,1,53,1,1,0,0,34.2,488,+8,-0.2,6,2,0,1200,68.1,0,11,11,1,53,1,1,0,0,34.1,480,+12,0.0
タワーオブロンドン,1,2.9,4,8,2,514,-2,0,4,57.0,9,1,0,1200,66.7,0,13,7,1,57,7,7,0,0,33.2,516,-4,-0.5,1,2,0,1200,69.3,1,16,7,2,58,12,12,0,0,34.9,520,+2,0.1,2,3,0,1200,68.6,1,7,13,1,58,5,5,0,0,33.5,518,0,0.2,5,1,0,1400,79.4,0,15,9,1,56,7,6,0,0,33.1,518,-8,-0.1,5,5,0,1600,92.3,0,15,5,2,57,5,5,0,0,34.2,526,+10,0.4
ディアンドル,13,8.9,5,9,5,488,+2,1,3,53.0,10,2,0,1200,68.4,0,18,5,3,52,5,4,0,0,35.2,486,-4,0.2,8,1,0,1200,68.0,0,16,6,1,55,4,4,0,0,33.7,490,0,0.0,9,1,0,1200,69.1,0,6,5,1,55,3,3,0,0,34.2,490,-2,-0.3,6,1,0,1200,68.5,0,14,14,1,55,2,2,0,0,34.9,492,+4,-0.3,6,1,0,1200,69.5,1,9,4,2,54,1,1,0,0,35.1,488,+14,-0.4
ラブカンプー,15,219.9,5,10,2,436,+2,1,4,55.0,9,11,0,1200,68.4,0,13,5,9,54,2,2,0,0,35.3,434,0,1.7,10,17,0,1200,69.6,0,18,6,13,53,2,2,0,0,36.8,434,+10,1.4,4,18,0,1000,57.1,0,18,1,12,55,0,0,0,0,34.7,424,-18,2.0,7,18,0,1200,69.3,0,18,10,13,55,2,2,0,0,35.8,442,+8,2.0,6,16,0,1200,69.5,0,16,11,4,54,2,3,0,0,36.7,434,-10,2.4
