馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
グラマラススカイ,5,60.8,1,1,5,456,+4,1,3,53.0,2,4,1,1000,60.7,1,12,6,3,53,6,4,0,0,37.2,452,0,1.3,2,5,1,1000,60.6,0,12,6,3,54,2,2,0,0,37.2,452,+10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,1,1700,110.9,1,16,14,3,54,12,12,13,11,41.4,442,0,3.8,8,7,1,1200,75.6,0,13,7,3,54,8,6,0,0,38.3,442,-2,0.9
ゴールデンチョイス,2,2.5,2,2,1,460,+2,0,3,56.0,1,2,1,1000,58.9,0,10,2,3,56,1,1,0,0,36.0,458,+6,0.2,6,11,1,1200,75.2,0,16,4,3,56,4,4,0,0,40.4,452,-2,1.6,10,4,1,1000,59.5,1,14,4,3,56,5,3,0,0,36.1,454,-6,0.7,10,2,1,1000,59.8,1,13,9,3,56,2,2,0,0,36.5,460,+6,0.2,7,7,1,1200,75.5,0,15,9,3,56,4,4,0,0,39.4,454,-12,1.8
サーストンネイジュ,1,4.7,3,3,2,454,0,1,3,54.0,2,2,1,1000,59.9,0,9,6,3,54,2,2,0,0,36.8,454,+2,0.2,9,11,1,1400,88.1,0,16,8,3,54,4,6,0,0,39.6,452,-10,1.9,8,7,1,1400,88.1,0,11,7,3,54,1,1,0,0,40.2,462,-4,1.9,9,2,1,1400,85.1,1,16,6,3,54,1,1,0,0,37.8,466,-6,0.1,9,4,1,1400,87.1,0,16,9,3,54,3,3,0,0,38.2,472,0,1.9
オーミシンゲン,6,29.0,4,4,2,422,-6,0,3,56.0,2,3,1,1000,60.4,0,9,8,3,56,6,6,0,0,36.4,428,-6,0.3,9,10,1,1200,73.0,3,15,12,3,56,15,14,0,0,36.5,434,+6,1.2,4,6,1,1200,72.6,1,14,14,3,56,10,10,0,0,36.7,428,-2,1.0,10,5,1,1000,60.3,1,13,4,3,55,8,8,0,0,36.4,430,0,0.7,8,9,1,1800,117.3,1,11,9,3,56,8,7,7,7,39.6,430,+2,1.4
キョウエイメサイア,4,18.0,5,5,1,460,+4,1,3,54.0,1,3,1,1000,59.5,0,8,6,3,54,1,1,0,0,36.2,456,0,0.3,2,7,1,1000,62.1,2,10,6,3,54,2,6,0,0,38.8,456,+16,2.2,7,6,1,1200,74.8,0,16,12,3,54,1,1,0,0,39.2,440,-14,1.3,6,6,1,1200,73.0,1,15,15,3,54,1,1,0,0,39.9,454,+6,1.3,3,9,0,1200,70.9,0,16,9,3,54,1,2,0,0,36.8,448,-10,0.5
ノーブルクロノス,8,11.5,5,6,4,532,-4,0,3,56.0,7,7,1,1200,72.4,2,16,1,3,53,8,7,0,0,36.9,536,0,1.0,9,5,1,1200,73.9,0,16,15,3,56,4,3,0,0,36.9,536,+4,0.7,8,9,1,1400,88.1,0,16,16,3,56,8,8,0,0,39.5,532,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
セイユウビューティ,11,207.6,6,7,7,426,-6,1,3,54.0,2,7,1,1000,60.8,0,9,8,3,51,6,7,0,0,37.0,432,-10,1.5,5,11,1,1400,89.8,0,16,6,3,51,3,6,0,0,41.2,442,0,3.3,6,11,1,1200,74.3,0,16,6,3,52,10,11,0,0,38.6,442,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フラッシュノワール,9,17.5,6,8,7,464,-4,0,3,55.0,2,5,1,1000,61.7,2,10,10,3,55,2,3,0,0,38.4,468,-8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1300,80.5,1,16,15,3,56,3,3,0,0,36.8,476,+8,0.4,6,3,1,1200,72.6,0,16,15,3,55,6,6,0,0,37.5,468,+6,0.5,3,5,0,1200,71.3,0,16,9,3,55,6,6,0,0,35.9,462,-4,0.2
ヒロシゲウェーブ,7,7.3,7,9,3,432,+2,0,3,56.0,7,6,1,1200,72.7,2,16,8,3,56,4,4,0,0,38.1,430,0,1.3,9,3,1,1200,73.3,0,16,7,3,55,4,3,0,0,36.4,430,0,0.1,9,2,1,1200,73.1,0,16,8,3,55,3,3,0,0,37.5,430,+2,0.0,4,14,0,1600,98.4,2,16,7,3,55,5,6,0,0,37.0,428,-6,1.8,3,4,0,1200,70.5,0,16,2,3,55,11,10,0,0,35.1,434,+10,0.3
ファロ,3,21.3,7,10,8,456,-10,1,3,54.0,5,10,1,1300,79.8,2,16,9,3,51,2,3,0,0,37.7,466,+2,1.5,4,5,1,1200,73.8,0,15,10,3,53,2,2,0,0,39.0,464,+6,1.7,3,10,1,1150,71.3,0,16,14,3,53,10,10,0,0,38.7,458,-12,2.5,6,8,1,1200,75.0,0,16,1,3,52,6,7,0,0,40.0,470,-2,1.2,6,6,1,1200,75.0,0,16,8,3,54,1,2,0,0,40.5,472,0,1.5
