馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,性別,馬齢,斤量,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,競馬場,人気,芝ダ,距離,タイム,馬場状態,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
サニーサインズ,11,273.3,1,1,16,390,+6,1,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1,1800,120.0,0,13,8,3,54,10,9,9,10,42.1,384,+4,5.7,9,12,0,2000,125.8,1,13,10,3,54,7,7,7,8,38.3,380,-4,2.5,10,14,0,1200,72.1,2,18,2,3,54,14,13,0,0,36.6,384,-6,1.9,8,9,0,1400,84.0,1,13,7,3,54,12,11,0,0,36.6,390,-2,1.8
リッカウィンドウ,9,101.5,1,2,6,430,+4,1,3,54.0,9,15,0,1200,71.9,0,16,13,3,54,3,2,0,0,36.5,426,+2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,1,1400,91.9,0,16,15,3,54,2,2,0,0,43.5,424,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アルバリズム,10,5.4,2,3,2,508,-6,1,3,54.0,7,4,0,1400,82.3,1,18,7,3,54,2,1,0,0,36.1,514,+10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,1400,86.8,1,16,11,3,54,3,2,0,0,39.3,510,+4,1.8,9,10,0,1600,96.1,0,12,11,3,54,1,1,0,0,35.9,506,-8,1.5,8,7,0,1600,96.9,0,18,14,3,54,10,10,0,0,34.8,514,0,1.1
スカーヴァティ,12,7.0,2,4,9,430,-6,1,3,52.0,8,11,0,1200,70.1,0,16,7,3,54,3,3,0,0,35.2,436,-8,0.9,10,2,0,1200,68.9,0,18,9,3,51,1,1,0,0,35.5,444,+14,0.3,8,11,1,1200,75.4,0,16,14,3,54,5,6,0,0,39.3,430,-2,2.2,9,6,0,1200,71.7,2,13,5,3,54,2,2,0,0,36.2,432,-6,0.8,10,2,0,1200,69.6,0,14,12,3,54,2,2,0,0,35.8,438,0,0.0
ロナ,1,4.8,3,5,7,462,-8,1,3,54.0,9,7,1,1400,87.2,0,16,2,3,54,9,9,0,0,38.2,470,+2,1.0,8,5,0,1400,82.1,0,17,1,3,54,5,5,0,0,35.0,468,+6,0.7,8,3,0,1400,81.5,0,18,4,3,54,2,2,0,0,35.3,462,0,0.4,7,16,0,1400,84.3,0,18,16,3,54,8,8,0,0,35.9,462,+2,1.6,9,3,0,1400,83.7,1,16,1,3,54,4,3,0,0,36.7,460,0,0.7
タガノアリサ,6,54.8,3,6,5,464,+8,1,3,54.0,9,8,1,1200,75.6,1,10,4,3,53,9,8,0,0,37.5,456,-4,1.3,9,5,1,1200,74.1,0,16,15,3,51,2,2,0,0,38.7,460,+14,1.0,9,14,1,1400,89.1,0,16,6,3,54,3,4,0,0,40.7,446,-6,3.4,8,7,1,1400,88.5,1,16,7,3,54,5,4,0,0,39.9,452,-4,0.7,8,3,1,1400,87.9,0,16,13,3,54,3,3,0,0,37.7,456,0,0.1
アドマイヤコメット,7,7.1,4,7,12,444,+6,1,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1600,96.9,2,16,2,3,54,1,1,0,0,36.9,438,-8,0.3,10,5,1,1700,110.8,1,16,1,3,54,2,2,2,2,41.1,446,+4,1.1,7,5,1,1800,118.1,0,12,11,3,54,2,2,2,2,40.4,442,-8,0.6,8,5,0,1800,110.3,1,6,3,3,54,3,5,0,0,36.9,450,0,1.8
ウェーブクリスタル,2,3.0,4,8,2,406,+8,1,3,54.0,7,3,0,1400,81.9,1,18,16,3,54,9,9,0,0,34.2,398,+4,0.1,9,2,0,1200,70.0,0,16,12,3,54,5,4,0,0,34.5,394,-2,0.0,8,4,0,1400,81.2,0,18,7,3,54,5,4,0,0,34.6,396,0,0.3,8,2,0,1400,81.1,0,18,6,3,54,10,9,0,0,34.0,396,+8,0.0,8,4,0,1600,95.9,0,16,12,3,51,9,8,0,0,36.4,388,-4,0.4
レイナブローニュ,3,15.3,5,9,11,450,+2,1,3,54.0,8,9,1,1200,75.2,1,16,6,3,54,10,9,0,0,38.5,448,0,2.3,9,3,1,1400,85.9,0,16,9,3,54,1,1,0,0,37.8,448,0,0.2,9,5,1,1200,73.8,1,15,4,3,54,3,2,0,0,38.1,448,-2,1.0,9,2,1,1400,86.7,0,12,4,3,54,5,5,0,0,37.5,450,-2,0.0,8,5,1,1200,73.2,0,16,5,3,54,8,9,0,0,37.1,452,0,0.9
マックスブロケイド,5,46.4,5,10,9,444,+22,1,3,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,1200,71.1,0,16,1,3,53,12,10,0,0,35.0,422,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
