馬名,着順,オッズ,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
アフリカンゴールド,2,3.2,1,1,3,466,0,1,0,0,4,56.0,0,0,0,0,0,0,0,0,1,0,4,0,2400,146.2,1,0,0,0,9,3,4,55,2,2,3,3,36.4,466,+2,0.1,0,0,0,0,0,0,0,1,0,0,15,0,2400,149.3,1,0,0,0,16,4,4,52,5,6,5,6,40.0,464,+4,3.1,0,0,0,0,0,0,0,1,0,0,12,0,3000,187.8,1,0,0,0,18,10,4,57,5,5,5,3,35.7,460,-2,1.7,0,0,0,0,0,0,0,0,1,0,1,0,2400,146.8,1,0,0,0,8,7,4,53,2,2,2,2,34.3,462,0,-0.7,0,0,0,0,0,0,1,0,0,0,1,0,2200,131.9,1,0,0,0,14,13,4,54,3,3,2,3,35.6,462,0,-0.4
スティルウォーター,8,36.0,2,2,3,420,+4,0,1,0,6,52.0,0,0,0,0,0,0,0,0,1,0,6,0,2400,148.1,1,0,0,0,9,7,6,52,9,9,9,9,37.1,416,-8,2.0,0,0,0,0,0,0,0,1,0,0,4,0,2400,148.8,1,0,0,0,9,5,6,52,8,8,7,7,34.6,424,+4,0.4,0,0,0,0,0,0,0,1,0,0,6,0,2200,135.1,1,0,0,0,8,1,6,52,8,8,8,8,33.5,420,+2,0.4,0,0,0,0,0,0,0,1,0,0,1,0,2400,150.2,1,0,0,0,9,7,6,55,7,6,8,7,34.1,418,0,-0.2,0,0,0,0,0,0,0,0,1,0,4,0,2400,148.0,1,0,0,0,8,2,6,52,5,4,4,4,35.1,418,+4,1.2
タイセイトレイル,3,8.8,3,3,6,494,+6,1,0,0,4,55.0,0,0,0,0,0,1,0,0,0,0,2,0,2500,156.0,1,0,0,0,12,5,4,54,2,2,2,2,34.6,488,+4,0.3,0,0,0,0,0,0,0,0,0,1,1,0,2600,158.4,1,0,0,0,15,11,4,54,5,4,3,3,35.6,484,-8,-0.1,0,0,0,0,0,0,0,0,0,1,1,0,2600,163.2,0,1,0,0,13,4,4,56,6,6,4,4,36.2,492,-4,-0.2,0,0,0,0,0,0,0,1,0,0,3,0,2200,136.4,1,0,0,0,16,2,4,55,6,8,7,10,35.3,496,+2,0.6,0,0,0,0,0,0,0,0,1,0,8,0,1600,95.5,1,0,0,0,17,15,4,56,13,8,0,0,35.7,494,0,0.4
ギャラッド,6,13.8,4,4,8,478,+4,0,0,1,4,54.0,0,0,0,0,0,0,0,0,1,0,4,0,2200,133.6,1,0,0,0,9,4,4,56,9,9,9,7,35.7,474,0,1.2,0,0,0,0,0,0,1,0,0,0,1,0,2200,135.4,1,0,0,0,10,8,4,55,6,5,6,6,34.2,474,+6,0.0,0,0,0,1,0,0,0,0,0,0,1,0,2000,120.6,1,0,0,0,15,8,4,55,13,12,0,0,32.7,468,0,0.0,0,0,0,1,0,0,0,0,0,0,4,0,2000,120.4,1,0,0,0,10,10,4,54,5,5,0,0,33.4,468,-8,0.8,0,0,0,0,0,1,0,0,0,0,9,0,2200,135.6,1,0,0,0,11,8,4,56,4,4,3,4,36.1,476,+2,1.8
レッドレオン,7,3.6,5,5,4,448,-2,1,0,0,4,55.0,0,0,0,0,0,0,1,0,0,0,1,0,2200,132.7,1,0,0,0,12,2,4,56,4,4,4,4,34.9,450,+2,0.0,0,0,0,0,0,0,1,0,0,0,1,0,2000,122.1,1,0,0,0,18,6,4,56,4,4,4,3,34.9,448,-6,0.0,0,0,0,0,0,0,0,1,0,0,3,0,1800,106.6,1,0,0,0,17,11,4,55,4,4,0,0,34.8,454,+14,0.4,0,0,0,0,0,0,0,1,0,0,4,0,1800,109.3,1,0,0,0,10,5,4,56,5,3,0,0,35.6,440,-2,0.5,0,0,0,0,0,0,0,1,0,0,1,0,1600,98.7,0,1,0,0,16,10,4,56,3,3,0,0,36.6,442,0,0.0
ノチェブランカ,4,7.0,5,6,7,462,+8,0,1,0,4,52.0,0,0,0,0,0,1,0,0,0,0,1,0,2500,154.8,1,0,0,0,7,5,4,54,4,4,4,4,35.7,454,-6,-0.2,0,0,0,0,0,0,0,1,0,0,3,0,2400,150.2,0,1,0,0,8,3,4,51,2,2,2,2,36.8,460,+8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2600,160.2,1,0,0,0,10,9,4,53,5,5,3,3,34.6,452,+2,-0.2,0,1,0,0,0,0,0,0,0,0,4,0,2600,164.8,0,0,1,0,11,6,4,51,5,5,7,3,35.9,450,+18,0.5
ゴールドフラッグ,10,42.1,6,7,12,506,-2,1,0,0,4,54.0,0,0,0,0,1,0,0,0,0,0,7,0,2400,146.3,1,0,0,0,11,1,4,54,7,8,8,8,34.6,508,+2,0.9,0,0,0,0,0,1,0,0,0,0,9,0,2500,153.7,1,0,0,0,13,6,4,53,13,12,9,4,36.4,506,+2,1.0,0,0,1,0,0,0,0,0,0,0,1,0,2600,158.6,1,0,0,0,15,10,4,53,12,12,12,11,35.2,504,0,0.0,0,0,0,0,0,0,0,1,0,0,8,0,2400,150.7,1,0,0,0,9,3,4,54,8,6,2,3,35.1,504,+2,0.5,1,0,0,0,0,0,0,0,0,0,7,0,2600,163.5,1,0,0,0,11,10,4,53,4,5,8,5,38.2,502,0,1.4
ウインブルーローズ,12,254.6,6,8,3,498,+6,1,0,0,7,51.0,0,0,0,0,0,0,0,0,1,0,7,0,2400,148.1,1,0,0,0,9,6,7,51,4,4,6,7,37.9,492,-8,2.0,0,0,0,0,0,1,0,0,0,0,10,0,2500,157.1,1,0,0,0,12,1,7,51,7,9,10,10,35.0,500,0,1.4,0,0,0,0,1,0,0,0,0,0,12,1,2100,136.0,1,0,0,0,12,6,7,57,11,11,12,12,40.7,500,+2,5.3,0,0,0,0,1,0,0,0,0,0,10,0,2400,146.9,1,0,0,0,11,9,7,52,9,9,9,8,35.1,498,+2,1.5,0,0,0,0,0,1,0,0,0,0,11,0,2200,135.4,1,0,0,0,12,7,7,57,11,11,12,10,35.1,496,+4,1.3
エーティーラッセン,5,19.6,7,9,3,510,+4,1,0,0,5,54.0,0,0,0,0,0,0,0,0,1,0,1,0,2000,124.7,1,0,0,0,11,11,5,57,1,1,1,1,34.4,506,-2,-0.1,0,0,0,0,0,0,0,0,1,0,5,0,2400,148.1,1,0,0,0,10,4,5,55,2,4,6,5,36.6,508,-2,1.4,0,0,0,0,0,0,1,0,0,0,2,0,2000,121.6,1,0,0,0,12,1,5,57,1,1,1,1,35.3,510,-4,0.2,0,0,0,0,0,0,0,1,0,0,7,0,2400,147.9,1,0,0,0,9,4,5,55,1,1,1,1,35.4,514,+10,1.0,0,0,0,0,0,0,0,1,0,0,5,0,2400,150.4,1,0,0,0,9,8,5,57,1,1,1,1,34.9,504,+6,0.2
フォイヤーヴェルク,9,14.1,7,10,10,456,-2,1,0,0,6,55.0,0,0,0,0,0,0,0,1,0,0,1,0,2400,148.2,1,0,0,0,8,1,6,57,5,5,4,4,35.3,458,0,0.0,0,0,0,0,0,0,0,1,0,0,2,0,2400,149.9,0,1,0,0,8,1,6,56,5,5,6,7,36.0,458,-2,0.2,0,0,0,0,0,0,0,0,1,0,6,0,2400,150.5,0,1,0,0,9,4,6,57,9,9,5,2,36.5,460,+12,0.8,0,0,0,0,0,0,0,0,1,0,3,0,2400,147.9,1,0,0,0,8,3,6,56,7,7,6,5,34.8,448,+8,1.1,0,0,0,0,0,0,1,0,0,0,3,0,2200,131.1,1,0,0,0,10,7,6,57,5,7,5,5,34.9,440,+2,0.3
