馬名,着順,オッズ,当日芝,当日ダ,当日距離,本日良,本日稍,本日重,本日不,枠番,馬番,中週,体重,体重増減,牡,牝,セ,馬齢,斤量,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,人気,芝,ダ,距離,タイム,良,稍,重,不,頭数,馬番,人気,斤量,通過順1,通過順2,通過順3,通過順4,3ハロン,体重,体重増減,着差
ファストフラッシュ,11,52.0,0,1,1400,0,1,0,0,1,1,11,482,-9,1,0,0,4,57.0,0,0,0,0,0,0,0,0,0,0,1,0,1,1400,88.0,0,0,1,0,10,3,4,56,3,2,1,0,38.2,491,-1,-0.7,0,0,0,0,0,0,0,0,0,0,2,0,1,1600,102.8,1,0,0,0,10,8,4,56,6,6,6,0,38.2,492,+4,0.3,0,0,0,0,0,0,0,0,0,0,1,0,1,1400,88.0,1,0,0,0,8,8,4,56,5,2,1,0,37.8,488,+18,-0.5,0,0,0,0,0,1,0,0,0,0,12,0,1,1800,115.6,0,1,0,0,15,8,4,54,5,5,5,6,39.6,470,+4,1.5,0,0,0,0,0,0,0,0,0,1,7,0,1,1700,106.8,0,0,0,1,16,1,4,56,16,15,15,14,37.1,466,+8,1.1
ビコーズオブユー,14,118.7,0,1,1400,0,1,0,0,1,2,14,504,+6,0,0,1,4,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,1,1700,110.5,1,0,0,0,15,3,4,55,1,1,4,13,42.2,498,+6,5.2,0,0,0,0,0,0,0,1,0,0,12,0,1,1400,87.8,0,1,0,0,16,10,4,56,4,4,0,0,40.2,492,0,2.2,0,0,0,0,0,0,0,0,1,0,10,0,1,1200,74.1,1,0,0,0,10,3,4,55,8,9,0,0,37.9,492,0,1.7,0,0,0,0,0,0,0,1,0,0,1,0,1,1400,87.0,1,0,0,0,10,10,4,55,1,1,0,0,39.7,492,+4,0.0
ジャスパーエイト,15,7.5,0,1,1400,0,1,0,0,2,3,2,488,+2,1,0,0,4,57.0,0,0,0,0,0,0,0,0,0,1,7,0,1,1000,59.6,0,1,0,0,14,3,4,57,12,11,0,0,35.7,486,-2,0.6,0,0,0,0,0,0,0,0,0,0,2,0,1,1400,90.9,1,0,0,0,11,3,4,56,1,1,1,1,38.9,488,-2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1500,97.3,0,0,0,1,9,1,4,55,5,4,3,2,39.4,490,+8,2.0,0,0,0,0,0,0,0,0,0,1,1,0,1,1000,58.9,1,0,0,0,14,6,4,56,8,5,0,0,35.5,482,-4,-0.1
セカンドエフォート,3,15.5,0,1,1400,0,1,0,0,2,4,1,514,-6,1,0,0,6,57.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1400,86.3,1,0,0,0,16,3,6,57,13,15,0,0,37.0,520,+8,1.1,0,0,0,0,0,0,0,0,1,0,4,0,1,1400,84.7,1,0,0,0,16,6,6,57,14,13,0,0,36.7,512,0,0.5,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,85.4,1,0,0,0,16,2,6,57,13,14,0,0,36.3,512,+24,0.8,1,0,0,0,0,0,0,0,0,0,7,0,1,1700,104.1,0,0,1,0,14,12,6,57,14,14,13,11,36.6,488,-2,1.1,1,0,0,0,0,0,0,0,0,0,4,0,1,1700,106.4,1,0,0,0,14,9,6,57,11,11,11,11,36.4,490,-2,0.5
ミッキーマインド,6,4.4,0,1,1400,0,1,0,0,3,5,3,474,-2,1,0,0,4,57.0,0,0,0,0,0,0,0,1,0,0,2,0,1,1400,86.0,0,1,0,0,13,12,4,57,6,6,0,0,36.6,476,+8,0.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1200,73.1,1,0,0,0,16,10,4,55,14,15,0,0,35.7,468,+6,2.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1200,72.5,0,1,0,0,15,8,4,55,14,12,0,0,35.4,462,+2,1.3,0,0,0,0,0,0,0,0,1,0,13,0,1,1200,73.7,1,0,0,0,16,2,4,55,15,14,0,0,36.9,460,+6,1.9,0,0,0,0,0,0,0,1,0,0,3,0,1,1200,72.3,1,0,0,0,16,1,4,56,11,10,0,0,35.6,454,-8,0.9
ボナパルト,7,8.7,0,1,1400,0,1,0,0,3,6,3,508,-2,1,0,0,5,57.0,0,0,0,0,0,0,1,0,0,0,4,0,1,1400,85.3,0,1,0,0,11,8,5,57,2,2,0,0,38.3,510,+2,0.8,0,0,0,0,0,0,0,0,1,0,6,0,1,1400,84.8,1,0,0,0,16,4,5,57,7,6,0,0,37.6,508,+8,0.6,0,0,0,0,0,0,0,0,1,0,4,0,1,1400,83.5,0,0,0,1,16,2,5,57,11,9,0,0,36.5,500,+4,0.7,1,0,0,0,0,0,0,0,0,0,7,1,0,1500,91.3,0,1,0,0,13,2,5,57,10,9,9,0,37.1,496,-4,1.0,0,1,0,0,0,0,0,0,0,0,7,1,0,1200,69.0,1,0,0,0,16,13,5,57,13,13,0,0,34.5,500,-6,0.4
レッドヴェルサス,9,42.6,0,1,1400,0,1,0,0,4,7,2,516,-8,1,0,0,6,57.0,0,0,0,0,0,0,0,0,0,1,7,0,1,1700,108.8,0,1,0,0,11,4,6,57,6,5,6,6,39.5,524,0,1.6,0,0,0,0,0,0,1,0,0,0,7,0,1,1400,85.9,1,0,0,0,16,1,6,57,5,5,0,0,37.6,524,+12,0.7,0,0,0,0,0,0,0,0,0,1,12,0,1,1700,107.3,1,0,0,0,15,14,6,57,9,10,13,13,38.3,512,+8,1.9,0,0,0,1,0,0,0,0,0,0,11,0,1,1800,114.6,1,0,0,0,13,6,6,55,10,10,11,9,38.5,504,+6,1.0,0,0,0,0,0,0,0,0,1,0,12,0,1,1400,88.3,0,1,0,0,13,11,6,57,7,7,0,0,39.6,498,0,3.0
センショウユウト,1,16.0,0,1,1400,0,1,0,0,4,8,3,486,-4,1,0,0,4,57.0,0,0,0,0,0,0,0,1,0,0,6,0,1,1200,73.4,0,1,0,0,14,8,4,57,8,10,0,0,37.2,490,0,1.3,0,0,0,0,0,0,0,1,0,0,4,0,1,1200,73.3,1,0,0,0,16,5,4,56,9,8,0,0,37.6,490,+10,0.8,0,0,1,0,0,0,0,0,0,0,11,1,0,1200,69.4,1,0,0,0,16,4,4,55,13,12,0,0,34.6,480,+6,1.1,0,1,0,0,0,0,0,0,0,0,9,1,0,1200,70.0,1,0,0,0,12,11,4,54,10,11,0,0,35.1,474,+4,0.4,0,1,0,0,0,0,0,0,0,0,1,1,0,1200,69.4,1,0,0,0,16,9,4,56,2,2,0,0,35.1,470,+6,-0.3
カミノコ,4,8.4,0,1,1400,0,1,0,0,5,9,1,472,0,1,0,0,4,57.0,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,86.0,1,0,0,0,16,5,4,57,9,7,0,0,36.8,472,-6,0.8,0,0,0,0,0,0,0,1,0,0,6,0,1,1400,85.4,1,0,0,0,16,7,4,56,10,9,0,0,36.4,478,+24,0.6,0,0,0,0,1,0,0,0,0,0,6,0,1,1400,85.8,1,0,0,0,14,12,4,55,8,8,0,0,36.5,454,-2,0.8,0,0,0,0,0,0,0,1,0,0,4,0,1,1400,85.7,1,0,0,0,13,12,4,55,3,3,0,0,37.7,456,+6,1.4,1,0,0,0,0,0,0,0,0,0,6,0,1,1000,59.3,1,0,0,0,12,12,4,52,11,8,0,0,35.3,450,+2,1.6
アイファータレント,16,601.1,0,1,1400,0,1,0,0,5,10,25,512,-4,1,0,0,5,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0,1200,70.6,0,0,1,0,18,7,5,57,15,17,0,0,36.2,516,+4,2.2,0,0,0,0,0,0,0,0,0,1,13,1,0,1200,69.5,1,0,0,0,14,12,5,57,3,3,0,0,35.6,512,+18,1.9,0,0,0,0,0,0,0,1,0,0,14,0,1,1200,76.7,0,1,0,0,14,12,5,56,14,14,0,0,38.0,494,-14,3.4,0,0,0,0,0,0,0,0,1,0,17,1,0,1600,98.3,1,0,0,0,17,15,5,55,4,5,0,0,37.1,508,+6,3.1
